abstraction_level,between_parent_dispersion,cross_template_cosine,effective_rank,family,hierarchy_rsa_spearman,layer,location,model_setting,n_items,natural,normalized_separation,permuted_neighbor_recovery,seed,tree_neighbor_recovery,within_parent_dispersion
root,0.3707463025532195,1.0,2.6480842254368033,action,-0.6210590034081188,0,pre_sa,tiny-w32-l2-h2,4,False,-0.27696971343886206,0.5,23,0.0,0.47343179972990235
parent,0.5329386739110169,1.0,2.716848572087984,action,0.8280786712108251,0,pre_sa,tiny-w32-l2-h2,4,True,0.266824554853927,0.0,23,1.0,0.3907375494802677
root,0.5329386739110169,1.0,2.716848572087984,action,0.8280786712108251,0,pre_sa,tiny-w32-l2-h2,4,True,0.266824554853927,0.0,23,1.0,0.3907375494802677
parent,0.35997653375658145,1.0,2.535751219910005,noun,0.0,0,pre_sa,tiny-w32-l2-h2,4,False,0.00485264570866678,0.0,23,0.0,0.35822969517482683
root,0.35997653375658145,1.0,2.535751219910005,noun,0.0,0,pre_sa,tiny-w32-l2-h2,4,False,0.00485264570866678,0.0,23,0.0,0.35822969517482683
parent,0.4680154405068021,1.0,2.160120157586499,noun,0.0,0,pre_sa,tiny-w32-l2-h2,4,True,0.009011471041969877,0.25,23,0.25,0.4637979329174803
root,0.4680154405068021,1.0,2.160120157586499,noun,0.0,0,pre_sa,tiny-w32-l2-h2,4,True,0.009011471041969877,0.25,23,0.25,0.4637979329174803
parent,0.5103846823344866,1.0,2.8477747944139633,relation,-0.20701966780270628,0,pre_sa,tiny-w32-l2-h2,4,False,-0.016871849456256093,0.75,23,0.0,0.5189958158596132
root,0.5103846823344866,1.0,2.8477747944139633,relation,-0.20701966780270628,0,pre_sa,tiny-w32-l2-h2,4,False,-0.016871849456256093,0.75,23,0.0,0.5189958158596132
parent,0.5177492007379011,1.0,2.663725101681642,relation,0.0,0,pre_sa,tiny-w32-l2-h2,4,True,0.0981822957635537,0.0,23,0.5,0.46691539557970896
root,0.5177492007379011,1.0,2.663725101681642,relation,0.0,0,pre_sa,tiny-w32-l2-h2,4,True,0.0981822957635537,0.0,23,0.5,0.46691539557970896
parent,0.3420576333946057,0.9333895597921765,2.642097947330335,action,-0.41403933560541256,1,post_block,tiny-w32-l2-h2,4,False,-0.32775584805708785,0.5,23,0.0,0.45416902311225515
root,0.2537046947081046,0.9105473194873718,2.253547414155852,action,-0.41403933560541256,1,post_block,tiny-w32-l2-h2,4,False,-0.3295648471451993,0.5,23,0.0,0.3373168436396005
parent,0.32622572941223626,0.895705010476043,2.4149676692094006,action,0.20701966780270628,1,post_block,tiny-w32-l2-h2,4,True,0.29560819891756085,0.5,23,0.5,0.22979072910011755
root,0.43779151929107285,0.8665169884905746,2.2309463286683524,action,0.20701966780270628,1,post_block,tiny-w32-l2-h2,4,True,0.24544235921564211,0.5,23,0.5,0.33033893595167163
parent,0.22011416606340622,0.9674475651139497,2.6379409294279927,noun,0.8280786712108251,1,post_block,tiny-w32-l2-h2,4,False,0.2766456137406946,0.0,23,1.0,0.15922054749977405
root,0.33914738465680433,0.8708679125970035,2.3287669305042997,noun,0.6210590034081188,1,post_block,tiny-w32-l2-h2,4,False,0.2813014271424618,0.25,23,0.75,0.24374474134121182
parent,0.32492073307913527,0.931561357636816,1.8729825210703521,noun,0.0,1,post_block,tiny-w32-l2-h2,4,True,0.00591110024584783,0.25,23,0.25,0.32300009405395014
root,0.39416111176436797,0.8941792055858273,1.924817215723445,noun,0.0,1,post_block,tiny-w32-l2-h2,4,True,-0.014581051560990469,0.0,23,0.25,0.39990839525834154
parent,0.3023712720415441,0.9637323547983839,2.697582680001202,relation,0.6210590034081188,1,post_block,tiny-w32-l2-h2,4,False,0.19861444653483748,0.0,23,0.75,0.24231596919697806
root,0.37878204973622503,0.9078934908048982,2.4222226017202977,relation,0.8280786712108251,1,post_block,tiny-w32-l2-h2,4,False,0.33214748582577636,0.0,23,1.0,0.2529705442404037
parent,0.44848868226499844,0.9463560949523897,2.521500074034151,relation,0.20701966780270628,1,post_block,tiny-w32-l2-h2,4,True,0.13881988647277962,0.5,23,0.5,0.3862295343086448
root,0.5015125607014566,0.9299363210043091,1.9739239309199994,relation,0.6210590034081188,1,post_block,tiny-w32-l2-h2,4,True,0.3341907883753997,0.0,23,0.75,0.3339116826604713
parent,0.3379564502343885,0.938585685318476,2.714521599010869,action,-0.41403933560541256,1,post_sa,tiny-w32-l2-h2,4,False,-0.2918754202928167,0.5,23,0.0,0.436597631187219
root,0.26042792748023225,0.9097020809765017,2.423133817597606,action,-0.41403933560541256,1,post_sa,tiny-w32-l2-h2,4,False,-0.3193814273725527,0.5,23,0.0,0.34360377068654446
parent,0.3246714234299952,0.8858780588753282,2.6585062542799722,action,0.20701966780270628,1,post_sa,tiny-w32-l2-h2,4,True,0.20243281214830583,0.5,23,0.5,0.25894727416086794
root,0.36801747994331696,0.8694870185526035,2.4246866194392025,action,0.20701966780270628,1,post_sa,tiny-w32-l2-h2,4,True,0.21539876803645963,0.25,23,0.5,0.288746968147644
parent,0.2444758660238338,0.9636942197262285,2.588250723941423,noun,0.41403933560541256,1,post_sa,tiny-w32-l2-h2,4,False,0.2346034655890104,0.5,23,0.5,0.1871209806017678
root,0.28579423068706855,0.8743109040275017,2.3910490513452025,noun,0.41403933560541256,1,post_sa,tiny-w32-l2-h2,4,False,0.26521948152767605,0.5,23,0.5,0.20999603300064318
parent,0.3052323691037714,0.9238425876039237,2.1384501271038956,noun,0.0,1,post_sa,tiny-w32-l2-h2,4,True,-0.01199096508530995,0.25,23,0.25,0.30889239978460115
root,0.3579329568026208,0.8953308215033317,2.0319158749030657,noun,-0.20701966780270628,1,post_sa,tiny-w32-l2-h2,4,True,-0.031495276042255146,0.25,23,0.0,0.36920615408173996
parent,0.33992977991892304,0.9624873598507042,2.5622418619217466,relation,0.6210590034081188,1,post_sa,tiny-w32-l2-h2,4,False,0.2689622378917804,0.0,23,0.75,0.2485015055858691
root,0.3912379973089889,0.917838560104411,2.3630907107412256,relation,0.8280786712108251,1,post_sa,tiny-w32-l2-h2,4,False,0.3643514781122612,0.0,23,1.0,0.24868985469577792
parent,0.4496885720223465,0.9501624878476749,2.5404762795795626,relation,0.20701966780270628,1,post_sa,tiny-w32-l2-h2,4,True,0.15742289934665363,0.5,23,0.5,0.37889729321153226
root,0.47526616679817807,0.9348939748955668,2.080645462698788,relation,0.6210590034081188,1,post_sa,tiny-w32-l2-h2,4,True,0.33881998694492005,0.0,23,0.75,0.3142364903682572
parent,0.3037576440493509,0.9970988771357095,2.718250685494081,action,-0.6210590034081188,1,pre_sa,tiny-w32-l2-h2,4,False,-0.3112921730789164,0.5,23,0.0,0.3983150211548053
root,0.29331653255697354,0.9828792882300964,2.5402229777241354,action,-0.6210590034081188,1,pre_sa,tiny-w32-l2-h2,4,False,-0.35123577642235265,0.25,23,0.0,0.3963397926071344
parent,0.31356728251730154,0.942530127975369,2.706006356465581,action,0.6210590034081188,1,pre_sa,tiny-w32-l2-h2,4,True,0.22289845957563323,0.25,23,0.75,0.24367361827087763
root,0.38773319388634775,0.9491924885758684,2.387148927445481,action,0.41403933560541256,1,pre_sa,tiny-w32-l2-h2,4,True,0.20907121251313976,0.25,23,0.75,0.3066693449089367
parent,0.22986819451857027,0.9987653823531611,2.6866710942930956,noun,0.41403933560541256,1,pre_sa,tiny-w32-l2-h2,4,False,0.10571791397394643,0.5,23,0.5,0.20556700850510967
