component,family,layer,mean_update_cosine,model_setting,natural,parent_id,seed,shared_update_explained_variance,shared_update_rank
ff,noun,0,0.8873817590778915,tiny-w48-l3-h3,False,synthetic:noun:p1,11,0.7696762704486328,1.7396911859513107
ff,noun,0,0.8723003045095997,tiny-w48-l3-h3,True,natural:noun:bird,11,0.7688292637084804,1.7385053365301666
ff,noun,0,0.7272227113265625,tiny-w48-l3-h3,True,natural:noun:mammal,11,0.5015124675318567,1.397458623312234
ff,relation,0,0.8470677897901537,tiny-w48-l3-h3,False,synthetic:relation:p0,11,0.7145812149094943,1.914629209807817
ff,relation,0,0.7603429865101644,tiny-w48-l3-h3,False,synthetic:relation:p1,11,0.5714837423783655,1.946665608941469
ff,relation,0,0.8081394493107862,tiny-w48-l3-h3,True,natural:relation:social,11,0.6365128042346688,1.4979326610151764
ff,relation,0,0.9579738102089638,tiny-w48-l3-h3,True,natural:relation:spatial,11,0.9026225002485367,2.1692738414691637
sa,action,0,0.6594728399687214,tiny-w48-l3-h3,False,synthetic:action:p0,11,0.4481601258525384,1.9517447500370857
sa,action,0,0.6700241497723156,tiny-w48-l3-h3,False,synthetic:action:p1,11,0.4479149026748027,1.2139924044170387
sa,action,0,0.7846643142963831,tiny-w48-l3-h3,True,natural:action:communication,11,0.6166331351764552,1.3302827672568382
sa,action,0,0.6727486354146489,tiny-w48-l3-h3,True,natural:action:movement,11,0.44715281724517675,2.1942964344444422
sa,noun,0,0.8168027831909145,tiny-w48-l3-h3,False,synthetic:noun:p0,11,0.6631903260803046,1.508310554661945
sa,noun,0,0.6692139259742421,tiny-w48-l3-h3,False,synthetic:noun:p1,11,0.4352391308811029,1.8764609532146115
sa,noun,0,0.7940944410616138,tiny-w48-l3-h3,True,natural:noun:bird,11,0.634372081839933,1.4030393273587864
sa,noun,0,0.6412316370923962,tiny-w48-l3-h3,True,natural:noun:mammal,11,0.4107658652781442,1.5392616837258217
sa,relation,0,0.4232844994206566,tiny-w48-l3-h3,False,synthetic:relation:p0,11,0.19659815286920734,2.031672584608154
sa,relation,0,0.6044820702439594,tiny-w48-l3-h3,False,synthetic:relation:p1,11,0.37826090089413844,2.0125444425065933
sa,relation,0,0.7086158889360251,tiny-w48-l3-h3,True,natural:relation:social,11,0.5141488842380699,2.326780361244971
sa,relation,0,0.8260156126090327,tiny-w48-l3-h3,True,natural:relation:spatial,11,0.6794073503204681,1.4856042827816696
ff,action,1,0.8792827998927529,tiny-w48-l3-h3,False,synthetic:action:p0,11,0.7629358862759803,2.1377585574823352
ff,action,1,0.8956866481884668,tiny-w48-l3-h3,False,synthetic:action:p1,11,0.8011333047868678,1.7207592836671322
ff,action,1,0.9109130730360026,tiny-w48-l3-h3,True,natural:action:communication,11,0.8263244902548091,2.0288443069542206
ff,action,1,0.8825560718599131,tiny-w48-l3-h3,True,natural:action:movement,11,0.7768111596101729,1.86279296289833
ff,noun,1,0.9285987971799985,tiny-w48-l3-h3,False,synthetic:noun:p0,11,0.8592462775183528,2.260262999692579
ff,noun,1,0.9110275869300425,tiny-w48-l3-h3,False,synthetic:noun:p1,11,0.8152032583270521,1.8985652091447385
ff,noun,1,0.9044705306980312,tiny-w48-l3-h3,True,natural:noun:bird,11,0.7915322366154617,1.7917559526257698
ff,noun,1,0.7709360531296418,tiny-w48-l3-h3,True,natural:noun:mammal,11,0.583746334882175,1.6568898322697834
ff,relation,1,0.8814529094217654,tiny-w48-l3-h3,False,synthetic:relation:p0,11,0.7522010087101169,1.8398307704656727
ff,relation,1,0.9188683665785615,tiny-w48-l3-h3,False,synthetic:relation:p1,11,0.8407001048847499,1.4619552534388836
ff,relation,1,0.9276097009168419,tiny-w48-l3-h3,True,natural:relation:social,11,0.8556178927873043,2.3106914017520386
ff,relation,1,0.9390353272039094,tiny-w48-l3-h3,True,natural:relation:spatial,11,0.8757413442648609,1.7206414873564828
sa,action,1,0.9515569567205547,tiny-w48-l3-h3,False,synthetic:action:p0,11,0.8786963865592996,1.9090565406026576
sa,action,1,0.8937656158931011,tiny-w48-l3-h3,False,synthetic:action:p1,11,0.7867686782434029,1.7366433070428402
sa,action,1,0.9480355619048826,tiny-w48-l3-h3,True,natural:action:communication,11,0.8790913880272547,2.0728044991979546
sa,action,1,0.9527885985219626,tiny-w48-l3-h3,True,natural:action:movement,11,0.8974215472665159,1.7305302669073543
sa,noun,1,0.9572602687677921,tiny-w48-l3-h3,False,synthetic:noun:p0,11,0.9095769052194272,1.5442239882214075
sa,noun,1,0.94815132642105,tiny-w48-l3-h3,False,synthetic:noun:p1,11,0.886964279037191,1.8785088935866987
sa,noun,1,0.95869268906241,tiny-w48-l3-h3,True,natural:noun:bird,11,0.9094318341060069,1.561923987300943
sa,noun,1,0.7866643670350556,tiny-w48-l3-h3,True,natural:noun:mammal,11,0.6660621699811877,1.3511465222685586
sa,relation,1,0.9610374607951987,tiny-w48-l3-h3,False,synthetic:relation:p0,11,0.9038850944723409,1.6162157996091444
sa,relation,1,0.9260526618206829,tiny-w48-l3-h3,False,synthetic:relation:p1,11,0.826637820242434,1.22431618931347
sa,relation,1,0.9557804543313084,tiny-w48-l3-h3,True,natural:relation:social,11,0.9056690208507789,1.846553148276158
sa,relation,1,0.9576562559144314,tiny-w48-l3-h3,True,natural:relation:spatial,11,0.9121200411184622,1.5758095875795337
