component,correct_signed_progress,correct_target,example_id,habitual_signed_progress,habitual_target,layer,model_setting,repair_geometry_candidate,run_id,seed,update_cosine_previous
ff,-0.005755458027124405,13,override-12,2.3132638931274414,3,1,tiny-w32-l2-h2,orthogonal_candidate,paper05-tiny-w32-l2-h2-seed23,23,-0.07875859910084831
sa,26.750083923339844,13,override-13,0.9357948303222656,3,0,tiny-w32-l2-h2,orthogonal_candidate,paper05-tiny-w32-l2-h2-seed23,23,0.0
ff,-0.0003380285343155265,13,override-13,6.899604797363281,3,0,tiny-w32-l2-h2,aligned_candidate,paper05-tiny-w32-l2-h2-seed23,23,0.26853447909966494
sa,0.0008545825257897377,13,override-13,1.4422416687011719,3,1,tiny-w32-l2-h2,orthogonal_candidate,paper05-tiny-w32-l2-h2-seed23,23,-0.1437171908076586
ff,-0.0018647711258381605,13,override-13,1.7367315292358398,3,1,tiny-w32-l2-h2,opposing_candidate,paper05-tiny-w32-l2-h2-seed23,23,-0.2845843109483988
sa,26.749948501586914,13,override-14,0.9710712432861328,3,0,tiny-w32-l2-h2,orthogonal_candidate,paper05-tiny-w32-l2-h2-seed23,23,0.0
ff,-0.00015185627853497863,13,override-14,6.674781799316406,3,0,tiny-w32-l2-h2,aligned_candidate,paper05-tiny-w32-l2-h2-seed23,23,0.2598618585495239
sa,0.0008394879987463355,13,override-14,1.1710271835327148,3,1,tiny-w32-l2-h2,orthogonal_candidate,paper05-tiny-w32-l2-h2-seed23,23,-0.154857390239126
ff,-0.0014220447046682239,13,override-14,1.783503532409668,3,1,tiny-w32-l2-h2,opposing_candidate,paper05-tiny-w32-l2-h2-seed23,23,-0.2975019912104295
sa,26.749279022216797,13,override-15,1.415872573852539,3,0,tiny-w32-l2-h2,orthogonal_candidate,paper05-tiny-w32-l2-h2-seed23,23,0.0
ff,0.0007526857079938054,13,override-15,6.737308502197266,3,0,tiny-w32-l2-h2,orthogonal_candidate,paper05-tiny-w32-l2-h2-seed23,23,0.24646133696969258
sa,0.0005663463962264359,13,override-15,1.8304471969604492,3,1,tiny-w32-l2-h2,orthogonal_candidate,paper05-tiny-w32-l2-h2-seed23,23,-0.048076154523429476
ff,-0.0013431954430416226,13,override-15,1.2385931015014648,3,1,tiny-w32-l2-h2,orthogonal_candidate,paper05-tiny-w32-l2-h2-seed23,23,-0.23791704112150605
