accuracy,architecture,branching,distractors,evaluation_axis,heads,layers,mean_margin,model_seed,n,predicate,required_path,total_depth,width
1.0,depth8,2,4,depth_path,4,8,15.29774554570516,11,24,isAncestor,2,16,64
1.0,depth8,2,4,depth_path,4,8,15.491389036178589,11,24,isAncestor,3,16,64
1.0,depth8,2,4,depth_path,4,8,15.39637541770935,11,24,isAncestor,4,16,64
1.0,depth8,2,4,depth_path,4,8,14.896098772684732,11,24,isAncestor,6,16,64
1.0,depth8,2,4,depth_path,4,8,15.407405773798624,11,24,isAncestor,8,16,64
1.0,depth8,2,4,depth_path,4,8,15.231692870457968,11,24,isAncestor,12,16,64
1.0,depth8,2,4,depth_path,4,8,14.979636033376059,11,24,isAncestor,16,16,64
1.0,depth8,4,4,branching,4,8,15.351430972417196,11,24,isAncestor,3,8,64
1.0,depth8,2,64,distractors,4,8,15.417861143747965,11,24,isAncestor,3,8,64
1.0,depth8,2,4,depth_path,4,8,14.72038753827413,11,24,isAncestor,1,24,64
1.0,depth8,2,4,depth_path,4,8,14.430622021357218,11,24,isAncestor,2,24,64
1.0,depth8,2,4,depth_path,4,8,14.689260880152384,11,24,isAncestor,3,24,64
1.0,depth8,2,4,depth_path,4,8,14.600087642669678,11,24,isAncestor,4,24,64
1.0,depth8,2,4,depth_path,4,8,14.849804480870565,11,24,isAncestor,6,24,64
1.0,depth8,2,4,depth_path,4,8,14.023913542429606,11,24,isAncestor,8,24,64
1.0,depth8,2,4,depth_path,4,8,14.596567948659262,11,24,isAncestor,12,24,64
1.0,depth8,2,4,depth_path,4,8,14.576897621154785,11,24,isAncestor,16,24,64
0.9583333333333334,depth8,2,4,depth_path,4,8,13.080786069234213,11,24,isAncestor,1,32,64
1.0,depth8,2,4,depth_path,4,8,14.602762460708618,11,24,isAncestor,2,32,64
1.0,depth8,2,4,depth_path,4,8,13.39749805132548,11,24,isAncestor,3,32,64
1.0,depth8,2,4,depth_path,4,8,14.494948705037435,11,24,isAncestor,4,32,64
1.0,depth8,2,4,depth_path,4,8,14.161223729451498,11,24,isAncestor,6,32,64
0.9583333333333334,depth8,2,4,depth_path,4,8,13.753491401672363,11,24,isAncestor,8,32,64
1.0,depth8,2,4,depth_path,4,8,13.936761220296225,11,24,isAncestor,12,32,64
0.9583333333333334,depth8,2,4,depth_path,4,8,12.437512954076132,11,24,isAncestor,16,32,64
1.0,depth8,8,4,branching,4,8,14.667707363764444,11,24,isAncestor,3,8,64
0.875,depth8,2,256,distractors,4,8,11.692591269810995,11,24,isAncestor,3,8,64
1.0,depth8,2,4,depth_path,4,8,14.786150097846985,23,24,isAncestor,1,2,64
1.0,depth8,2,4,depth_path,4,8,15.127575953801474,23,24,isAncestor,2,2,64
1.0,depth8,2,4,depth_path,4,8,13.964362502098083,23,24,isAncestor,1,3,64
1.0,depth8,2,4,depth_path,4,8,14.449765841166178,23,24,isAncestor,2,3,64
1.0,depth8,2,4,depth_path,4,8,14.368122418721518,23,24,isAncestor,3,3,64
1.0,depth8,2,4,depth_path,4,8,14.165191213289896,23,24,isAncestor,1,4,64
1.0,depth8,2,4,depth_path,4,8,14.729268550872803,23,24,isAncestor,2,4,64
1.0,depth8,2,4,depth_path,4,8,14.42526618639628,23,24,isAncestor,3,4,64
1.0,depth8,2,4,depth_path,4,8,14.854025681813559,23,24,isAncestor,4,4,64
1.0,depth8,1,4,branching,4,8,14.662711262702942,23,24,isAncestor,3,8,64
1.0,depth8,2,4,depth_path,4,8,14.124714612960815,23,24,isAncestor,1,5,64
1.0,depth8,2,4,depth_path,4,8,13.674440463383993,23,24,isAncestor,2,5,64
1.0,depth8,2,4,depth_path,4,8,14.261862595876059,23,24,isAncestor,3,5,64
1.0,depth8,2,4,depth_path,4,8,13.554858843485514,23,24,isAncestor,4,5,64
1.0,depth8,2,4,depth_path,4,8,14.009347915649414,23,24,isAncestor,1,6,64
0.9583333333333334,depth8,2,4,depth_path,4,8,14.286937157313028,23,24,isAncestor,2,6,64
