bridge_selected,bridge_strength,budget_chunks,budget_violation,condition,evidence_recall,example_id,hop_count,lexical_overlap,materialized_tokens,path_complete,quality,qwen_equivalent_kv_bytes,seed,selector_time_ns
0.0,0.4,8,0,agreement,0.6666666666666666,bridge-11-0083,3,high,256,0.0,0.3333333333333333,1048576,11,29200
0.0,0.4,8,0,community,0.3333333333333333,bridge-11-0083,3,high,256,0.0,0.16666666666666666,1048576,11,22100
1.0,0.4,8,0,bridge_preserving,1.0,bridge-11-0083,3,high,256,1.0,1.0,1048576,11,45900
1.0,0.4,8,0,combined_structural,1.0,bridge-11-0083,3,high,256,1.0,1.0,1048576,11,54200
1.0,0.4,8,0,oracle_evidence,1.0,bridge-11-0083,3,high,256,1.0,1.0,1048576,11,30100
0.0,0.16,2,0,base_topk,0.5,bridge-11-0084,2,low,64,0.0,0.25,262144,11,21800
0.0,0.16,2,0,budget_tuned_topk,0.5,bridge-11-0084,2,low,64,0.0,0.25,262144,11,18200
0.0,0.16,2,0,power_sharpen,0.5,bridge-11-0084,2,low,64,0.0,0.25,262144,11,46800
0.0,0.16,2,0,entropy_adaptive_sharpen,0.5,bridge-11-0084,2,low,64,0.0,0.25,262144,11,102500
0.0,0.16,2,0,persistence,0.5,bridge-11-0084,2,low,64,0.0,0.25,262144,11,22500
0.0,0.16,2,0,agreement,0.5,bridge-11-0084,2,low,64,0.0,0.25,262144,11,19800
0.0,0.16,2,0,community,0.5,bridge-11-0084,2,low,64,0.0,0.25,262144,11,19300
0.0,0.16,2,0,bridge_preserving,0.5,bridge-11-0084,2,low,64,0.0,0.25,262144,11,44300
1.0,0.16,2,0,combined_structural,1.0,bridge-11-0084,2,low,64,1.0,1.0,262144,11,56500
1.0,0.16,2,0,oracle_evidence,1.0,bridge-11-0084,2,low,64,1.0,1.0,262144,11,29300
0.0,0.16,3,0,base_topk,0.5,bridge-11-0084,2,low,96,0.0,0.25,393216,11,20000
0.0,0.16,3,0,budget_tuned_topk,0.5,bridge-11-0084,2,low,96,0.0,0.25,393216,11,19400
0.0,0.16,3,0,power_sharpen,0.5,bridge-11-0084,2,low,96,0.0,0.25,393216,11,47700
0.0,0.16,3,0,entropy_adaptive_sharpen,0.5,bridge-11-0084,2,low,96,0.0,0.25,393216,11,105500
0.0,0.16,3,0,persistence,0.5,bridge-11-0084,2,low,96,0.0,0.25,393216,11,22900
0.0,0.16,3,0,agreement,0.5,bridge-11-0084,2,low,96,0.0,0.25,393216,11,20600
0.0,0.16,3,0,community,0.5,bridge-11-0084,2,low,96,0.0,0.25,393216,11,21100
