architecture,branching,budget_multiplier,diagnostic_tier,distractors,evaluation_axis,example_id,heads,label_mode,model_depth,model_seed,output_entropy,position_mode,predicate,required_path,sequence_length,target_margin,target_probability,target_rank,template_id,top1_correct,total_depth,tree_seed,width
baseline,2,2,easy,4,depth_path,test:isAncestor:D2:d2:b2:N4:t1:paligned:tree101:i1,4,arbitrary,4,11,0.0013272931100800633,aligned,isAncestor,2,16,8.938322067260742,0.9998675584793091,1,1,1,2,101,64
baseline,2,2,easy,4,depth_path,test:isAncestor:D2:d2:b2:N4:t2:paligned:tree101:i2,4,arbitrary,4,11,6.509678200927738e-07,aligned,isAncestor,2,16,17.916128158569336,1.0,1,2,1,2,101,64
baseline,2,2,easy,4,depth_path,test:isAncestor:D2:d2:b2:N4:t3:paligned:tree101:i3,4,arbitrary,4,11,0.0001155256322817877,aligned,isAncestor,2,16,11.864237785339355,0.9999916553497314,1,3,1,2,101,64
baseline,2,2,easy,4,depth_path,test:isAncestor:D2:d2:b2:N4:t0:paligned:tree211:i0,4,arbitrary,4,11,0.0017159609124064445,aligned,isAncestor,2,16,9.080789566040039,0.9998345375061035,1,0,1,2,211,64
baseline,2,2,easy,4,depth_path,test:isAncestor:D2:d2:b2:N4:t1:paligned:tree211:i1,4,arbitrary,4,11,0.0004598048108164221,aligned,isAncestor,2,16,10.173266410827637,0.9999598264694214,1,1,1,2,211,64
baseline,2,2,easy,4,depth_path,test:isAncestor:D2:d2:b2:N4:t2:paligned:tree211:i2,4,arbitrary,4,11,0.000184146934770979,aligned,isAncestor,2,16,11.722078323364258,0.999987006187439,1,2,1,2,211,64
baseline,2,2,easy,4,depth_path,test:isAncestor:D2:d2:b2:N4:t3:paligned:tree211:i3,4,arbitrary,4,11,0.0019034299766644835,aligned,isAncestor,2,16,9.076313018798828,0.9998231530189514,1,3,1,2,211,64
baseline,2,2,easy,4,depth_path,test:isAncestor:D2:d2:b2:N4:t0:paligned:tree307:i0,4,arbitrary,4,11,3.4117339964723215e-05,aligned,isAncestor,2,16,13.048702239990234,0.9999977350234985,1,0,1,2,307,64
baseline,2,2,easy,4,depth_path,test:isAncestor:D2:d2:b2:N4:t1:paligned:tree307:i1,4,arbitrary,4,11,0.0008243785705417395,aligned,isAncestor,2,16,9.461418151855469,0.9999215602874756,1,1,1,2,307,64
baseline,2,2,easy,4,depth_path,test:isAncestor:D2:d2:b2:N4:t2:paligned:tree307:i2,4,arbitrary,4,11,0.0007624903228133917,aligned,isAncestor,2,16,9.90144157409668,0.9999334812164307,1,2,1,2,307,64
baseline,2,2,easy,4,depth_path,test:isAncestor:D2:d2:b2:N4:t3:paligned:tree307:i3,4,arbitrary,4,11,0.0015490350779145956,aligned,isAncestor,2,16,8.961718559265137,0.9998528957366943,1,3,1,2,307,64
baseline,2,2,easy,4,depth_path,test:root:D2:d2:b2:N4:t0:prandomized:tree101:i4,4,arbitrary,4,11,0.577791154384613,randomized,root,2,16,1.8843488693237305,0.8457970023155212,1,0,1,2,101,64
baseline,2,2,easy,4,depth_path,test:root:D2:d2:b2:N4:t2:prandomized:tree211:i6,4,arbitrary,4,11,2.1637227535247803,randomized,root,2,16,-4.719388961791992,0.0052283527329564095,21,2,0,2,211,64
