condition,example_id,family,heads,icl_gain,layers,margin,model_seed,probability,rank,stage,target,top1,width
reversed,8,1,1,,6,5.012142181396484,23,0.9869968891143799,1,D4,6,1,8
none,9,1,1,,6,-5.437256336212158,23,0.004270362202078104,3,D4,6,0,8
correct,9,1,1,11.472782611846924,6,6.035526275634766,23,0.9913195967674255,1,D4,6,1,8
shuffled,9,1,1,,6,-4.903347492218018,23,0.0073051415383815765,2,D4,6,0,8
wrong_chain,9,1,1,,6,5.052700042724609,23,0.9846791625022888,1,D4,6,1,8
irrelevant,9,1,1,,6,-1.1898193359375,23,0.2173205018043518,2,D4,6,0,8
reversed,9,1,1,,6,5.012142181396484,23,0.9869968891143799,1,D4,6,1,8
none,10,1,1,,6,-5.437256336212158,23,0.004270362202078104,3,D4,6,0,8
correct,10,1,1,11.472782611846924,6,6.035526275634766,23,0.9913195967674255,1,D4,6,1,8
shuffled,10,1,1,,6,-4.903347492218018,23,0.0073051415383815765,2,D4,6,0,8
wrong_chain,10,1,1,,6,5.052700042724609,23,0.9846791625022888,1,D4,6,1,8
irrelevant,10,1,1,,6,-1.1898193359375,23,0.2173205018043518,2,D4,6,0,8
reversed,10,1,1,,6,5.012142181396484,23,0.9869968891143799,1,D4,6,1,8
none,11,1,1,,6,-5.437256336212158,23,0.004270362202078104,3,D4,6,0,8
correct,11,1,1,11.472782611846924,6,6.035526275634766,23,0.9913195967674255,1,D4,6,1,8
shuffled,11,1,1,,6,-6.388510704040527,23,0.0016687517054378986,2,D4,6,0,8
wrong_chain,11,1,1,,6,5.052700042724609,23,0.9846791625022888,1,D4,6,1,8
irrelevant,11,1,1,,6,-1.1898193359375,23,0.2173205018043518,2,D4,6,0,8
reversed,11,1,1,,6,5.012142181396484,23,0.9869968891143799,1,D4,6,1,8
none,12,1,1,,6,-5.437256336212158,23,0.004270362202078104,3,D4,6,0,8
correct,12,1,1,11.472782611846924,6,6.035526275634766,23,0.9913195967674255,1,D4,6,1,8
shuffled,12,1,1,,6,-6.388510704040527,23,0.0016687517054378986,2,D4,6,0,8
