delta_variance_ff,delta_variance_norm,delta_variance_sa,depth,layer,model_seed,nuisance_distance,nuisance_type,post_ff_signal,post_ff_variance,post_norm_variance,post_sa_signal,post_sa_variance,pre_sa_signal,pre_sa_variance,predictive_span,regime,trained_window,window
-1.3483491649384973,1.678717939415776,1.6110772764018293,6,0,23,4,N2,-16.577463626861572,35.18303200429614,36.59902183224858,-21.093228578567505,36.531381169234635,-22.352447748184204,34.920303892832806,16,nuisance_reachable_before_full_signal,full,1
-5.178627993812597,1.4717021976066462,-16.730687008990117,6,1,23,4,N2,-8.226865768432617,13.273717001493424,36.654734201902784,-10.525171756744385,18.45234499530602,-16.577463626861572,35.18303200429614,16,nuisance_reachable_before_full_signal,full,1
-0.7936961295211518,1.400719784465025,4.369552114579619,6,2,23,4,N2,-6.287025690078735,16.84957298655189,14.674436785958449,-7.660426139831543,17.643269116073043,-8.226865768432617,13.273717001493424,16,nuisance_reachable_before_full_signal,full,1
5.811456673389911,0.8910052029905273,-3.835106445782623,6,3,23,4,N2,-3.816595636308193,18.82592321415918,17.74057818954242,-4.8137511536479,13.014466540769268,-6.287025690078735,16.84957298655189,16,nuisance_reachable_before_full_signal,full,1
3.3161687163511004,-4.041304122412905,5.323152623182619,6,4,23,4,N2,-4.0881925746798515,27.465244553692898,14.784619091746274,-4.090468615293503,24.149075837341798,-3.816595636308193,18.82592321415918,16,nuisance_reachable_before_full_signal,full,1
4.567654785588228,-0.31734366474863407,-0.6933909207369382,6,5,23,4,N2,-3.9700964242219925,31.339508418544188,27.147900888944264,-4.135502114892006,26.77185363295596,-4.0881925746798515,27.465244553692898,16,nuisance_reachable_before_full_signal,full,1
-1.3483491649384973,1.678717939415776,1.6110772764018293,6,0,23,4,N3,-16.577463626861572,35.18303200429614,36.59902183224858,-21.093228578567505,36.531381169234635,-22.352447748184204,34.920303892832806,16,nuisance_reachable_before_full_signal,full,1
-5.178627993812597,1.4717021976066462,-16.730687008990117,6,1,23,4,N3,-8.226865768432617,13.273717001493424,36.654734201902784,-10.525171756744385,18.45234499530602,-16.577463626861572,35.18303200429614,16,nuisance_reachable_before_full_signal,full,1
-1.0555148675556545,1.400719784465025,4.574869418656341,6,2,23,4,N3,-6.364882603287697,16.79307155259411,14.674436785958449,-7.7321527898311615,17.848586420149765,-8.226865768432617,13.273717001493424,16,nuisance_reachable_before_full_signal,full,1
4.40240224739064,0.8543691117511898,-2.5966438529023037,6,3,23,4,N3,-3.95877093821764,18.598829947082447,17.6474406643453,-4.969162784516811,14.196427699691807,-6.364882603287697,16.79307155259411,16,nuisance_reachable_before_full_signal,full,1
