axis,cell_id,dependency_span,example_index,family_id,final_margin,final_rank,first_top1_layer,first_top1_location,first_top1_stage,generator_family,head_count,model_depth,model_seed,model_width,nuisance_count,parameter_count,predictive_order,raw_length,requested_dependency_span,stable_top1_layer,stable_top1_location,stable_top1_stage,top1_correct,training_budget,training_steps
predictive_order,ecae3be4326f,4,119,"p4:(2, 0, 0, 0):7",-0.04471874237060547,3,,,,necessary_pattern,4,2,11,64,0,85504,4,12,4,,,,0,1,400
predictive_order,ecae3be4326f,4,120,"p4:(3, 1, 2, 0):8",-0.04539299011230469,3,,,,necessary_pattern,4,2,11,64,0,85504,4,12,4,,,,0,1,400
predictive_order,ecae3be4326f,4,121,"p4:(1, 0, 3, 0):9",-0.5848321914672852,4,,,,necessary_pattern,4,2,11,64,0,85504,4,12,4,,,,0,1,400
predictive_order,ecae3be4326f,4,122,"p4:(3, 1, 0, 0):10",-0.38116455078125,4,,,,necessary_pattern,4,2,11,64,0,85504,4,12,4,,,,0,1,400
predictive_order,ecae3be4326f,4,123,"p4:(2, 3, 0, 0):11",-0.007903099060058594,2,1,post_ff,2,necessary_pattern,4,2,11,64,0,85504,4,12,4,,,,0,1,400
predictive_order,ecae3be4326f,4,124,"p4:(3, 0, 1, 0):12",-0.3841590881347656,4,,,,necessary_pattern,4,2,11,64,0,85504,4,12,4,,,,0,1,400
predictive_order,ecae3be4326f,4,125,"p4:(0, 0, 3, 1):13",-0.38086891174316406,4,,,,necessary_pattern,4,2,11,64,0,85504,4,12,4,,,,0,1,400
predictive_order,ecae3be4326f,4,126,"p4:(3, 1, 1, 1):14",-0.04690361022949219,3,,,,necessary_pattern,4,2,11,64,0,85504,4,12,4,,,,0,1,400
predictive_order,ecae3be4326f,4,127,"p4:(2, 3, 0, 3):15",-0.37990570068359375,4,,,,necessary_pattern,4,2,11,64,0,85504,4,12,4,,,,0,1,400
predictive_order,96300ccbcaee,6,128,"p6:(3, 3, 1, 0, 2, 3):0",-0.3866462707519531,4,,,,necessary_pattern,4,2,11,64,0,85504,6,12,6,,,,0,1,400
predictive_order,96300ccbcaee,6,129,"p6:(3, 1, 1, 3, 2, 0):1",-0.046802520751953125,3,,,,necessary_pattern,4,2,11,64,0,85504,6,12,6,,,,0,1,400
predictive_order,96300ccbcaee,6,130,"p6:(0, 3, 0, 3, 2, 0):2",-0.38112640380859375,4,,,,necessary_pattern,4,2,11,64,0,85504,6,12,6,,,,0,1,400
predictive_order,96300ccbcaee,6,131,"p6:(2, 0, 3, 1, 0, 0):3",-0.04562091827392578,3,,,,necessary_pattern,4,2,11,64,0,85504,6,12,6,,,,0,1,400
predictive_order,96300ccbcaee,6,132,"p6:(3, 3, 0, 2, 2, 1):4",0.009860992431640625,1,2,post_ff,4,necessary_pattern,4,2,11,64,0,85504,6,12,6,2,post_ff,4,1,1,400
predictive_order,96300ccbcaee,6,133,"p6:(0, 1, 2, 1, 3, 3):5",-0.04569435119628906,3,,,,necessary_pattern,4,2,11,64,0,85504,6,12,6,,,,0,1,400
predictive_order,96300ccbcaee,6,134,"p6:(2, 1, 0, 0, 0, 1):6",-0.38099193572998047,4,,,,necessary_pattern,4,2,11,64,0,85504,6,12,6,,,,0,1,400
predictive_order,96300ccbcaee,6,135,"p6:(2, 2, 1, 2, 2, 2):7",0.011259078979492188,1,2,post_ff,4,necessary_pattern,4,2,11,64,0,85504,6,12,6,2,post_ff,4,1,1,400
predictive_order,96300ccbcaee,6,136,"p6:(1, 1, 0, 1, 3, 0):8",-0.32784271240234375,3,,,,necessary_pattern,4,2,11,64,0,85504,6,12,6,,,,0,1,400
predictive_order,96300ccbcaee,6,137,"p6:(2, 2, 0, 1, 1, 1):9",0.009240150451660156,1,2,post_ff,4,necessary_pattern,4,2,11,64,0,85504,6,12,6,2,post_ff,4,1,1,400
