candidate,cell_id,condition,episodes,example_id,family,heads,layers,mappings,margin,minimality_axis,mlp_ratio,pairs,probability,rank,regime,seed,target,top1,vocabulary,width
reference,C2_sa_ff_L2_W32_H2_S11,correct,256,28,sa_ff,2,2,fresh-random,-13.22893238067627,reference,2,3,1.7978204596147407e-06,2,C2,11,3,0,4,32
reference,C2_sa_ff_L2_W32_H2_S11,none,256,28,sa_ff,2,2,fresh-random,7.010490894317627,reference,2,3,0.9990676045417786,1,C2,11,3,1,4,32
reference,C2_sa_ff_L2_W32_H2_S11,shuffled_pairings,256,28,sa_ff,2,2,fresh-random,-6.9217987060546875,reference,2,3,0.0009114101412706077,3,C2,11,3,0,4,32
reference,C2_sa_ff_L2_W32_H2_S11,shuffled_order,256,28,sa_ff,2,2,fresh-random,10.645245552062988,reference,2,3,0.9999603033065796,1,C2,11,3,1,4,32
reference,C2_sa_ff_L2_W32_H2_S11,wrong_query,256,28,sa_ff,2,2,fresh-random,-12.820235252380371,reference,2,3,2.7054616111854557e-06,2,C2,11,3,0,4,32
reference,C2_sa_ff_L2_W32_H2_S11,correct,256,29,sa_ff,2,2,fresh-random,13.359415054321289,reference,2,3,0.9999982118606567,1,C2,11,5,1,4,32
reference,C2_sa_ff_L2_W32_H2_S11,none,256,29,sa_ff,2,2,fresh-random,-21.16404151916504,reference,2,3,6.435372790214444e-10,5,C2,11,5,0,4,32
reference,C2_sa_ff_L2_W32_H2_S11,shuffled_pairings,256,29,sa_ff,2,2,fresh-random,-21.749921798706055,reference,2,3,3.5820277299869474e-10,6,C2,11,5,0,4,32
reference,C2_sa_ff_L2_W32_H2_S11,shuffled_order,256,29,sa_ff,2,2,fresh-random,-1.6792659759521484,reference,2,3,0.15718711912631989,2,C2,11,5,0,4,32
reference,C2_sa_ff_L2_W32_H2_S11,wrong_query,256,29,sa_ff,2,2,fresh-random,-13.735302925109863,reference,2,3,1.08346853266994e-06,4,C2,11,5,0,4,32
reference,C2_sa_ff_L2_W32_H2_S11,correct,256,30,sa_ff,2,2,fresh-random,7.717541694641113,reference,2,3,0.9995551705360413,1,C2,11,5,1,4,32
reference,C2_sa_ff_L2_W32_H2_S11,none,256,30,sa_ff,2,2,fresh-random,-15.075301170349121,reference,2,3,2.8344894076326455e-07,6,C2,11,5,0,4,32
reference,C2_sa_ff_L2_W32_H2_S11,shuffled_pairings,256,30,sa_ff,2,2,fresh-random,-10.452896118164062,reference,2,3,2.8863722036476247e-05,2,C2,11,5,0,4,32
reference,C2_sa_ff_L2_W32_H2_S11,shuffled_order,256,30,sa_ff,2,2,fresh-random,8.792657852172852,reference,2,3,0.9998327493667603,1,C2,11,5,1,4,32
