direction,horizon,margin_absolute_error,model_seed,observed_margin_delta,pair_id,predicted_margin_delta
signal,1,7.989636421203613,37,-6.929786205291748,s37_signal_10,1.0598502159118652
signal,2,2.246218681335449,37,-9.724913597106934,s37_signal_10,-7.478694915771484
signal,4,28.816194534301758,37,-34.163963317871094,s37_signal_10,-5.347768783569336
signal,1,3.159469485282898,37,-1.5637836456298828,s37_signal_11,1.5956858396530151
signal,2,19.303452968597412,37,-24.535741806030273,s37_signal_11,-5.232288837432861
signal,4,20.138872146606445,37,-29.250347137451172,s37_signal_11,-9.111474990844727
signal,1,3.0801797956228256,37,-3.0953683853149414,s37_signal_12,-0.015188589692115784
signal,2,12.6149001121521,37,-9.951404571533203,s37_signal_12,2.6634955406188965
signal,4,24.195838928222656,37,-26.808250427246094,s37_signal_12,-2.6124114990234375
nuisance,1,0.09923374652862549,37,-0.3758878707885742,s37_nuisance_13,-0.4751216173171997
nuisance,2,0.5304143279790878,37,-0.6561880111694336,s37_nuisance_13,-0.12577368319034576
nuisance,4,0.037067025899887085,37,-0.11744403839111328,s37_nuisance_13,-0.15451106429100037
signal,1,4.793712139129639,37,-7.5724287033081055,s37_signal_14,-2.778716564178467
signal,2,33.45943260192871,37,-22.36127281188965,s37_signal_14,11.098159790039062
signal,4,24.64507484436035,37,-33.80902099609375,s37_signal_14,-9.163946151733398
signal,1,8.295320510864258,37,0.8686761856079102,s37_signal_15,9.163996696472168
signal,2,7.55226993560791,37,-6.325767517089844,s37_signal_15,-13.878037452697754
signal,4,28.12207329273224,37,-29.559457778930664,s37_signal_15,-1.4373844861984253
signal,1,9.42207670211792,37,-9.991205215454102,s37_signal_16,-0.5691285133361816
signal,2,18.572813034057617,37,-5.034221649169922,s37_signal_16,13.538591384887695
signal,4,44.50607872009277,37,-28.370704650878906,s37_signal_16,16.135374069213867
signal,1,4.266350269317627,37,-0.9383382797241211,s37_signal_17,3.328011989593506
signal,2,19.797624111175537,37,-23.046077728271484,s37_signal_17,-3.2484536170959473
signal,4,28.843509435653687,37,-26.87725257873535,s37_signal_17,1.966256856918335
signal,1,1.135695219039917,37,1.4221296310424805,s37_signal_18,0.2864344120025635
signal,2,31.870631217956543,37,-14.305712699890137,s37_signal_18,17.564918518066406
signal,4,29.87158489227295,37,-32.95183563232422,s37_signal_18,-3.0802507400512695
nuisance,1,5.481211185455322,37,-8.066747665405273,s37_nuisance_19,-2.585536479949951
nuisance,2,8.034377574920654,37,-8.249527931213379,s37_nuisance_19,-0.2151503562927246
nuisance,4,10.311572790145874,37,-8.080780029296875,s37_nuisance_19,2.230792760848999
signal,1,1.9272096157073975,37,3.158651351928711,s37_signal_20,1.2314417362213135
