condition,example_id,family,heads,icl_gain,layers,margin,model_seed,probability,rank,stage,target,top1,width
wrong_chain,42,5,2,,2,-2.401132583618164,11,0.07377791404724121,3,D0,6,0,32
irrelevant,42,5,2,,2,-4.856147766113281,11,0.005227636080235243,3,D0,6,0,32
reversed,42,5,2,,2,-0.18057823181152344,11,0.4412649869918823,2,D0,6,0,32
none,43,5,2,,2,-1.128098487854004,11,0.19975823163986206,2,D0,6,0,32
correct,43,5,2,3.940349578857422,2,2.812251091003418,11,0.923747181892395,1,D0,6,1,32
shuffled,43,5,2,,2,-0.3042745590209961,11,0.3950729966163635,2,D0,6,0,32
wrong_chain,43,5,2,,2,-2.212421417236328,11,0.0877186506986618,3,D0,6,0,32
irrelevant,43,5,2,,2,-4.829751014709473,11,0.005369474645704031,3,D0,6,0,32
reversed,43,5,2,,2,-0.3042745590209961,11,0.3950729966163635,2,D0,6,0,32
none,44,5,2,,2,-1.128098487854004,11,0.19975823163986206,2,D0,6,0,32
correct,44,5,2,5.2038068771362305,2,4.075708389282227,11,0.9691250920295715,1,D0,6,1,32
shuffled,44,5,2,,2,-1.4194660186767578,11,0.18678048253059387,2,D0,6,0,32
wrong_chain,44,5,2,,2,3.968893051147461,11,0.9719142317771912,1,D0,6,1,32
irrelevant,44,5,2,,2,0.28270816802978516,11,0.5206764936447144,1,D0,6,1,32
reversed,44,5,2,,2,-1.4194660186767578,11,0.18678048253059387,2,D0,6,0,32
none,45,5,2,,2,-1.128098487854004,11,0.19975823163986206,2,D0,6,0,32
correct,45,5,2,-1.0389423370361328,2,-2.1670408248901367,11,0.09645036607980728,2,D0,6,0,32
shuffled,45,5,2,,2,3.9336376190185547,11,0.9697278141975403,1,D0,6,1,32
wrong_chain,45,5,2,,2,-1.7310657501220703,11,0.13566991686820984,2,D0,6,0,32
irrelevant,45,5,2,,2,-1.2340364456176758,11,0.20718711614608765,2,D0,6,0,32
reversed,45,5,2,,2,3.9336376190185547,11,0.9697278141975403,1,D0,6,1,32
none,46,5,2,,2,-1.128098487854004,11,0.19975823163986206,2,D0,6,0,32
correct,46,5,2,-0.923945426940918,2,-2.052043914794922,11,0.06777524203062057,3,D0,6,0,32
