between_centroid_variance,boundary,effective_rank,hierarchy_rsa,interpretation_status,model_seed,nearest_class_recovery,predictive_order,residual_covariance_trace,stage,within_between_ratio,within_dispersion
424.92057810764493,7,1.7932354156994,0.7747072508589713,blocked_by_competence,11,0.953125,4,715.0078667428377,s2,1.4718882431915625,288.6907888954608
456.70546614076784,8,1.7468384617407213,0.7633112269580965,blocked_by_competence,11,0.951171875,4,755.8811755463055,s2,1.5341162876565169,297.6993789845489
456.72269534142,9,1.7577553263298435,0.7530915512818487,blocked_by_competence,11,0.951171875,4,758.8059549232262,s2,1.519364094192503,300.60121670109686
477.5342332345863,10,1.7322119564888445,0.738777736986979,blocked_by_competence,11,0.94921875,4,787.9828374615295,s2,1.5458706090171666,308.9095752475262
476.3241099178859,11,1.7405496504490696,0.731823456243977,blocked_by_competence,11,0.94921875,4,788.2018734963335,s2,1.5348543814099453,310.33830679427535
482.17693598139397,12,1.734236890853416,0.7269403730832577,blocked_by_competence,11,0.94921875,4,795.5586665043627,s2,1.5462918110620625,311.8279050024525
1.9591024592071928,0,20.36618612641352,0.031495134296677836,blocked_by_competence,23,0.96875,4,60.388742828300366,s2,0.033597076979390204,58.31169360575666
21.317499519431585,1,9.344809928191667,0.7487264841950865,blocked_by_competence,23,0.9765625,4,87.59912464024697,s2,0.3224523918185454,66.11053308050239
121.55976938465611,2,1.9776481126961243,0.7859552177060054,blocked_by_competence,23,0.947265625,4,218.97832377745402,s2,1.2533115638072951,96.99086235417008
121.77957053237803,3,2.9188951672890364,0.7612900566300238,blocked_by_competence,23,0.9453125,4,311.31891316436696,s2,0.6445706555377851,188.93129787971478
226.29611598814586,4,2.180630509579539,0.7588455822811184,blocked_by_competence,23,0.94140625,4,451.51910023307073,s2,1.0087144303023299,224.34111100228208
228.03910906861967,5,2.422241976005512,0.7478381980541375,blocked_by_competence,23,0.943359375,4,526.6142571810191,s2,0.7663979541484935,297.5466046413427
272.7653904825262,6,2.2814813005610297,0.7382136964464445,blocked_by_competence,23,0.943359375,4,587.17067945001,s2,0.8707358795411702,313.25847123418316
274.4330964645634,7,2.35096532957828,0.7248000170550964,blocked_by_competence,23,0.94140625,4,623.375980488386,s2,0.78922371991984,347.7253528119312
292.2245452315433,8,2.321388415581346,0.7113050593258932,blocked_by_competence,23,0.94140625,4,653.6285810241848,s2,0.8114476461584755,360.1274174703286
293.70039166097547,9,2.3410162705322266,0.7006732620010478,blocked_by_competence,23,0.94140625,4,670.4101212708251,s2,0.7823658222813441,375.4003348417425
305.486737825771,10,2.3244951643842846,0.6900242629576754,blocked_by_competence,23,0.94140625,4,688.310793210891,s2,0.8007942208336538,381.47969836712986
