cumulative_fluctuation_variance,cumulative_signal,layer_i,layer_j,model_seed,nuisance_count,predictive_family_id,update_covariance
0.0,36.50649642944336,2,1,11,0,skip_gram:r1,0.0
0.0,36.50649642944336,2,2,11,0,skip_gram:r1,0.0
0.0,36.50649642944336,2,3,11,0,skip_gram:r1,0.0
0.0,36.50649642944336,2,4,11,0,skip_gram:r1,0.0
0.0,36.50649642944336,2,5,11,0,skip_gram:r1,0.0
0.0,36.50649642944336,2,6,11,0,skip_gram:r1,0.0
0.0,36.50649642944336,2,7,11,0,skip_gram:r1,0.0
0.0,36.50649642944336,3,0,11,0,skip_gram:r1,0.0
0.0,36.50649642944336,3,1,11,0,skip_gram:r1,0.0
0.0,36.50649642944336,3,2,11,0,skip_gram:r1,0.0
0.0,36.50649642944336,3,3,11,0,skip_gram:r1,0.0
0.0,36.50649642944336,3,4,11,0,skip_gram:r1,0.0
0.0,36.50649642944336,3,5,11,0,skip_gram:r1,0.0
0.0,36.50649642944336,3,6,11,0,skip_gram:r1,0.0
0.0,36.50649642944336,3,7,11,0,skip_gram:r1,0.0
0.0,36.50649642944336,4,0,11,0,skip_gram:r1,0.0
0.0,36.50649642944336,4,1,11,0,skip_gram:r1,0.0
0.0,36.50649642944336,4,2,11,0,skip_gram:r1,0.0
0.0,36.50649642944336,4,3,11,0,skip_gram:r1,0.0
0.0,36.50649642944336,4,4,11,0,skip_gram:r1,0.0
0.0,36.50649642944336,4,5,11,0,skip_gram:r1,0.0
0.0,36.50649642944336,4,6,11,0,skip_gram:r1,0.0
0.0,36.50649642944336,4,7,11,0,skip_gram:r1,0.0
0.0,36.50649642944336,5,0,11,0,skip_gram:r1,0.0
0.0,36.50649642944336,5,1,11,0,skip_gram:r1,0.0
0.0,36.50649642944336,5,2,11,0,skip_gram:r1,0.0
0.0,36.50649642944336,5,3,11,0,skip_gram:r1,0.0
0.0,36.50649642944336,5,4,11,0,skip_gram:r1,0.0
0.0,36.50649642944336,5,5,11,0,skip_gram:r1,0.0
0.0,36.50649642944336,5,6,11,0,skip_gram:r1,0.0
0.0,36.50649642944336,5,7,11,0,skip_gram:r1,0.0
0.0,36.50649642944336,6,0,11,0,skip_gram:r1,0.0
0.0,36.50649642944336,6,1,11,0,skip_gram:r1,0.0
0.0,36.50649642944336,6,2,11,0,skip_gram:r1,0.0
0.0,36.50649642944336,6,3,11,0,skip_gram:r1,0.0
0.0,36.50649642944336,6,4,11,0,skip_gram:r1,0.0
0.0,36.50649642944336,6,5,11,0,skip_gram:r1,0.0
0.0,36.50649642944336,6,6,11,0,skip_gram:r1,0.0
0.0,36.50649642944336,6,7,11,0,skip_gram:r1,0.0
0.0,36.50649642944336,7,0,11,0,skip_gram:r1,0.0
0.0,36.50649642944336,7,1,11,0,skip_gram:r1,0.0
0.0,36.50649642944336,7,2,11,0,skip_gram:r1,0.0
0.0,36.50649642944336,7,3,11,0,skip_gram:r1,0.0
0.0,36.50649642944336,7,4,11,0,skip_gram:r1,0.0
0.0,36.50649642944336,7,5,11,0,skip_gram:r1,0.0
0.0,36.50649642944336,7,6,11,0,skip_gram:r1,0.0
0.0,36.50649642944336,7,7,11,0,skip_gram:r1,0.0
0.0,36.020365715026855,0,0,11,0,skip_gram:r2,0.0
0.0,36.020365715026855,0,1,11,0,skip_gram:r2,0.0
0.0,36.020365715026855,0,2,11,0,skip_gram:r2,0.0
0.0,36.020365715026855,0,3,11,0,skip_gram:r2,0.0
0.0,36.020365715026855,0,4,11,0,skip_gram:r2,0.0
0.0,36.020365715026855,0,5,11,0,skip_gram:r2,0.0
0.0,36.020365715026855,0,6,11,0,skip_gram:r2,0.0
0.0,36.020365715026855,0,7,11,0,skip_gram:r2,0.0
0.0,36.020365715026855,1,0,11,0,skip_gram:r2,0.0
0.0,36.020365715026855,1,1,11,0,skip_gram:r2,0.0
0.0,36.020365715026855,1,2,11,0,skip_gram:r2,0.0
0.0,36.020365715026855,1,3,11,0,skip_gram:r2,0.0
0.0,36.020365715026855,1,4,11,0,skip_gram:r2,0.0
0.0,36.020365715026855,1,5,11,0,skip_gram:r2,0.0
0.0,36.020365715026855,1,6,11,0,skip_gram:r2,0.0
0.0,36.020365715026855,1,7,11,0,skip_gram:r2,0.0
0.0,36.020365715026855,2,0,11,0,skip_gram:r2,0.0
0.0,36.020365715026855,2,1,11,0,skip_gram:r2,0.0
0.0,36.020365715026855,2,2,11,0,skip_gram:r2,0.0
0.0,36.020365715026855,2,3,11,0,skip_gram:r2,0.0
0.0,36.020365715026855,2,4,11,0,skip_gram:r2,0.0
0.0,36.020365715026855,2,5,11,0,skip_gram:r2,0.0
0.0,36.020365715026855,2,6,11,0,skip_gram:r2,0.0
0.0,36.020365715026855,2,7,11,0,skip_gram:r2,0.0
0.0,36.020365715026855,3,0,11,0,skip_gram:r2,0.0
0.0,36.020365715026855,3,1,11,0,skip_gram:r2,0.0
0.0,36.020365715026855,3,2,11,0,skip_gram:r2,0.0
0.0,36.020365715026855,3,3,11,0,skip_gram:r2,0.0
0.0,36.020365715026855,3,4,11,0,skip_gram:r2,0.0
0.0,36.020365715026855,3,5,11,0,skip_gram:r2,0.0
0.0,36.020365715026855,3,6,11,0,skip_gram:r2,0.0
0.0,36.020365715026855,3,7,11,0,skip_gram:r2,0.0
0.0,36.020365715026855,4,0,11,0,skip_gram:r2,0.0
0.0,36.020365715026855,4,1,11,0,skip_gram:r2,0.0
0.0,36.020365715026855,4,2,11,0,skip_gram:r2,0.0
0.0,36.020365715026855,4,3,11,0,skip_gram:r2,0.0
0.0,36.020365715026855,4,4,11,0,skip_gram:r2,0.0
0.0,36.020365715026855,4,5,11,0,skip_gram:r2,0.0
0.0,36.020365715026855,4,6,11,0,skip_gram:r2,0.0
0.0,36.020365715026855,4,7,11,0,skip_gram:r2,0.0
0.0,36.020365715026855,5,0,11,0,skip_gram:r2,0.0
0.0,36.020365715026855,5,1,11,0,skip_gram:r2,0.0
0.0,36.020365715026855,5,2,11,0,skip_gram:r2,0.0
0.0,36.020365715026855,5,3,11,0,skip_gram:r2,0.0
0.0,36.020365715026855,5,4,11,0,skip_gram:r2,0.0
0.0,36.020365715026855,5,5,11,0,skip_gram:r2,0.0
0.0,36.020365715026855,5,6,11,0,skip_gram:r2,0.0
0.0,36.020365715026855,5,7,11,0,skip_gram:r2,0.0
0.0,36.020365715026855,6,0,11,0,skip_gram:r2,0.0
0.0,36.020365715026855,6,1,11,0,skip_gram:r2,0.0
0.0,36.020365715026855,6,2,11,0,skip_gram:r2,0.0
0.0,36.020365715026855,6,3,11,0,skip_gram:r2,0.0
0.0,36.020365715026855,6,4,11,0,skip_gram:r2,0.0
0.0,36.020365715026855,6,5,11,0,skip_gram:r2,0.0
0.0,36.020365715026855,6,6,11,0,skip_gram:r2,0.0
0.0,36.020365715026855,6,7,11,0,skip_gram:r2,0.0
0.0,36.020365715026855,7,0,11,0,skip_gram:r2,0.0
0.0,36.020365715026855,7,1,11,0,skip_gram:r2,0.0
0.0,36.020365715026855,7,2,11,0,skip_gram:r2,0.0
0.0,36.020365715026855,7,3,11,0,skip_gram:r2,0.0
0.0,36.020365715026855,7,4,11,0,skip_gram:r2,0.0
0.0,36.020365715026855,7,5,11,0,skip_gram:r2,0.0
0.0,36.020365715026855,7,6,11,0,skip_gram:r2,0.0
0.0,36.020365715026855,7,7,11,0,skip_gram:r2,0.0
0.0,41.68971061706543,0,0,11,0,binary_functor:r0,0.0
0.0,41.68971061706543,0,1,11,0,binary_functor:r0,0.0
0.0,41.68971061706543,0,2,11,0,binary_functor:r0,0.0
0.0,41.68971061706543,0,3,11,0,binary_functor:r0,0.0
0.0,41.68971061706543,0,4,11,0,binary_functor:r0,0.0
0.0,41.68971061706543,0,5,11,0,binary_functor:r0,0.0
0.0,41.68971061706543,0,6,11,0,binary_functor:r0,0.0
0.0,41.68971061706543,0,7,11,0,binary_functor:r0,0.0
0.0,41.68971061706543,1,0,11,0,binary_functor:r0,0.0
0.0,41.68971061706543,1,1,11,0,binary_functor:r0,0.0
0.0,41.68971061706543,1,2,11,0,binary_functor:r0,0.0
0.0,41.68971061706543,1,3,11,0,binary_functor:r0,0.0
0.0,41.68971061706543,1,4,11,0,binary_functor:r0,0.0
0.0,41.68971061706543,1,5,11,0,binary_functor:r0,0.0
